iter	RMSE
0	1.434398018
1	1.361855104
2	1.291372761
3	1.226181289
4	1.164382319
5	1.105869725
6	1.052111957
7	1.000692917
8	0.9516675629
9	0.905889603
10	0.8629545029
11	0.8233144546
12	0.7860840607
13	0.7513335846
14	0.7187933781
15	0.6876037834
16	0.6589229321
17	0.6322684904
18	0.6077957753
19	0.5851185485
20	0.5638169636
21	0.5441528774
22	0.5257247947
23	0.5085675144
24	0.4923143773
25	0.4783061382
26	0.4646211598
27	0.4521148174
28	0.44080295
29	0.4302602814
30	0.420943301
31	0.412108075
32	0.4044961546
33	0.3969922548
34	0.3902447093
35	0.383872049
36	0.378193111
37	0.3728995484
38	0.3688062746
39	0.3647961993
40	0.361552454
41	0.3581960996
42	0.3548423947
43	0.3518611216
44	0.3490940216
45	0.3465745492
46	0.344409706
47	0.3422382934
48	0.3404618654
49	0.338636603
50	0.3370897383
51	0.3356618408
52	0.3342829847
53	0.3330050049
54	0.3319360163
55	0.3308528865
56	0.3299456628
57	0.3291443733
58	0.3283457529
59	0.3276023915
60	0.3269282016
61	0.3262847366
62	0.3257563983
63	0.3252626705
64	0.3248238648
65	0.3242979399
66	0.3238161997
67	0.3232875348
68	0.3228829341
69	0.3224869705
70	0.322157792
71	0.3217838312
72	0.3214647133
73	0.321042592
74	0.3207381289
75	0.3204320738
76	0.320039239
77	0.3198202159
78	0.3195848949
79	0.3192846199
80	0.3189722262
81	0.3187854022
82	0.3186435034
83	0.3185537913
84	0.3183472262
85	0.3182037917
86	0.318025452
87	0.3178422155
88	0.3176735689
89	0.3175245351
90	0.3173519894
91	0.3172003916
92	0.3170450264
93	0.3169186224
94	0.3167427822
95	0.3166425364
96	0.316443348
97	0.3162550786
98	0.3161267535
99	0.3159817042
100	0.3158650675
101	0.315760686
102	0.3156257523
103	0.3154538609
104	0.3152619326
105	0.3150803172
106	0.3148469607
107	0.3147524516
108	0.3146164049
109	0.3144457947
110	0.3143463366
111	0.3142496541
112	0.3141299103
113	0.3140142647
114	0.3139187489
115	0.3138045269
116	0.3136552918
117	0.3136102319
118	0.3135236166
119	0.313414859
120	0.3132552083
121	0.3131017237
122	0.3130011131
123	0.3128865402
124	0.3127913184
125	0.3126710106
126	0.312570761
127	0.3124556621
128	0.3123473085
129	0.3122639901
130	0.3121334855
131	0.312068237
132	0.311976194
133	0.3118485808
134	0.3117504831
135	0.3115550683
136	0.3114842918
137	0.3113583653
138	0.3112183243
139	0.3111289747
140	0.3109800635
141	0.3108976866
142	0.3107860072
143	0.3106882097
144	0.3105078983
145	0.3103943498
146	0.3102949823
147	0.3100725975
148	0.3099013882
149	0.3097966246
150	0.3096802837
151	0.3095503863
152	0.3094113418
153	0.3092536206
154	0.3091118952
155	0.3089895422
156	0.308864018
157	0.3087652685
158	0.3086811485
159	0.308601652
160	0.3085066093
161	0.3084099764
162	0.3082821592
163	0.3081444895
164	0.3080369796
165	0.3079222369
166	0.3078340902
167	0.3077654826
168	0.3076574203
169	0.3075265021
170	0.3073975424
171	0.3072982429
172	0.3071842004
173	0.3070699667
174	0.3068886968
175	0.306816253
176	0.3066913363
177	0.3065891934
178	0.3065024956
179	0.3063973881
180	0.3062985925
181	0.3061980688
182	0.306030536
183	0.3059082931
184	0.305821169
185	0.3056865583
186	0.3055592814
187	0.3054388792
188	0.3052988848
189	0.3052127365
190	0.3051207776
191	0.3050098828
192	0.3049051446
193	0.3048361426
194	0.3047424804
195	0.3046840712
196	0.3046192169
197	0.3045109606
198	0.3043846656
199	0.3043033984
200	0.3041754016
201	0.3040993499
202	0.3039751029
203	0.3039072404
204	0.3038052241
205	0.3036451552
206	0.3035732559
207	0.3034384605
208	0.303292246
209	0.3032096016
210	0.303119358
211	0.3029724141
212	0.3028975956
213	0.3028258126
214	0.3027570474
215	0.3026861834
216	0.3024982444
217	0.3023276322
218	0.3022287832
219	0.3021709827
220	0.3021030425
221	0.3019913496
222	0.3018318128
223	0.3017649731
224	0.3016994069
225	0.3015485504
226	0.3014501959
227	0.301393404
228	0.3012362323
229	0.3011792351
230	0.3011194538
231	0.3010643236
232	0.3009721354
233	0.3008087059
234	0.3006987613
235	0.3006344006
236	0.3005849115
237	0.3005153668
238	0.3003868703
239	0.3002146173
240	0.3000753243
241	0.2999247487
242	0.2998247488
243	0.2997017193
244	0.299645415
245	0.2995896617
246	0.2995303804
247	0.2994386937
248	0.2993744354
249	0.2992175131
250	0.2991586654
251	0.2990311354
252	0.2989735713
253	0.2988322396
254	0.2987869338
255	0.2986335482
256	0.2985169888
257	0.2983562582
258	0.2982605777
259	0.298212517
260	0.2980726655
261	0.2979436157
262	0.2978124219
