iter	Passed	Remaining
0	3	3798
1	7	3509
2	9	3071
3	14	3595
4	17	3504
5	20	3391
6	23	3283
7	26	3339
8	31	3419
9	34	3400
10	37	3356
11	40	3349
12	46	3536
13	51	3599
14	55	3627
15	61	3757
16	65	3775
17	68	3742
18	70	3665
19	74	3656
20	79	3707
21	82	3669
22	85	3642
23	89	3639
24	93	3655
25	97	3643
26	100	3618
27	103	3591
28	108	3642
29	112	3644
30	115	3620
31	119	3602
32	124	3641
33	129	3666
34	132	3657
35	136	3649
36	142	3697
37	145	3690
38	148	3668
39	152	3652
40	156	3661
41	160	3664
42	164	3654
43	167	3642
44	173	3683
45	177	3675
46	180	3663
47	183	3648
48	188	3654
49	192	3658
50	195	3645
51	199	3633
52	204	3657
53	211	3702
54	215	3697
55	221	3741
56	227	3759
57	230	3741
58	234	3745
59	240	3765
60	243	3753
61	247	3747
62	252	3762
63	257	3768
64	261	3761
65	265	3757
66	271	3774
67	275	3769
68	306	4139
69	314	4177
70	322	4224
71	341	4407
72	345	4387
73	349	4371
74	355	4386
75	361	4393
76	365	4375
77	368	4353
78	371	4326
79	374	4303
80	377	4284
81	381	4268
82	384	4247
83	386	4214
84	389	4189
85	392	4166
86	395	4152
87	399	4144
88	402	4123
89	405	4102
90	408	4080
91	412	4066
92	415	4050
93	418	4033
94	421	4012
95	423	3990
96	426	3973
97	431	3969
98	434	3953
99	437	3934
100	439	3914
101	443	3901
102	447	3897
103	450	3885
104	454	3870
105	456	3854
106	462	3856
107	465	3844
108	469	3834
109	472	3825
110	476	3819
111	480	3810
112	483	3796
113	486	3781
114	489	3768
115	494	3768
116	498	3760
117	501	3749
118	505	3742
119	508	3731
120	513	3727
121	516	3719
122	520	3707
123	525	3711
124	529	3704
125	532	3695
126	536	3688
127	540	3683
128	544	3677
129	548	3667
130	550	3654
131	555	3649
132	558	3641
133	561	3630
134	565	3622
135	568	3612
136	572	3605
137	576	3598
138	579	3589
139	582	3579
140	587	3579
141	591	3576
142	595	3571
143	599	3562
144	604	3562
145	608	3556
146	611	3549
147	614	3539
148	619	3536
149	623	3532
150	628	3531
151	631	3524
152	635	3520
153	640	3516
154	643	3508
155	646	3499
156	652	3501
157	655	3494
158	659	3486
159	662	3479
160	666	3475
161	671	3471
162	674	3463
163	677	3455
164	682	3453
165	686	3448
166	690	3442
167	693	3435
168	698	3433
169	702	3430
170	706	3425
171	710	3418
172	714	3417
173	718	3413
174	722	3405
175	725	3396
176	729	3390
177	732	3384
178	736	3376
179	739	3366
180	741	3357
181	746	3354
182	750	3349
183	753	3341
184	757	3335
185	760	3326
186	764	3321
187	768	3319
188	772	3312
189	775	3305
190	780	3305
191	784	3301
192	788	3297
193	795	3303
194	799	3299
195	803	3294
196	806	3286
197	810	3284
198	814	3279
199	818	3273
200	822	3267
