,Longitude,Latitude,Has Table booking,Has Online delivery,Price range,Votes,Aggregate rating
0,121.027535,14.565443,Yes,No,3,314,4.8
1,121.014101,14.553708,Yes,No,3,591,4.5
2,121.056831,14.581404,Yes,No,4,270,4.4
3,121.056475,14.585318,No,No,4,365,4.9
4,121.057508,14.58445,Yes,No,4,229,4.8
5,121.056314,14.583764,No,No,3,336,4.4
6,120.9796667,14.53133333,Yes,No,4,520,4.0
7,120.9793333,14.54,Yes,No,4,677,4.2
8,120.98009,14.55299,Yes,No,4,621,4.9
9,121.056532,14.572041,Yes,No,3,532,4.8
10,121.057916,14.567689,No,No,3,1070,4.9
11,121.06082,14.570849,Yes,No,3,488,4.2
12,121.075419,14.649503,No,No,3,294,4.8
13,121.0335917,14.59345,Yes,No,3,458,4.2
14,121.03811,14.59889,No,No,3,223,4.3
15,121.05704,14.237082,No,No,3,29,3.6
16,121.0565874,14.23767897,No,No,3,72,4.0
17,120.951589,14.101834,Yes,No,3,211,4.5
18,121.045878,14.55436,No,No,2,118,4.5
19,121.04622,14.549337,Yes,No,4,392,4.4
20,121.053725,14.545858,Yes,No,4,535,4.7
21,121.0534998,14.54565535,Yes,No,4,618,4.5
22,-47.88178889,-15.76414167,No,No,2,6,3.0
23,-47.88266667,-15.7775,No,No,1,9,3.8
24,-47.88213611,-15.75747222,No,No,2,11,3.7
25,-47.88816667,-15.75883333,No,No,3,11,3.8
26,-47.91566667,-15.83116667,No,No,2,11,3.2
27,-47.91566667,-15.831,No,No,3,10,3.1
28,-47.9075,-15.82,No,No,3,8,3.7
29,-47.91016667,-15.82733333,No,No,4,5,3.7
30,-47.89016667,-15.797,No,No,1,2,0.0
31,-47.92366667,-15.83133333,No,No,4,12,4.1
32,-48.019,-15.83716667,No,No,4,9,3.1
33,-48.01909167,-15.839775,No,No,3,9,3.6
34,-48.01666667,-15.83483333,No,No,4,29,4.3
35,-47.889,-15.7865,No,No,4,17,4.2
36,-47.872359,-15.860621,No,No,4,5,3.6
37,-47.95628333,-15.83451389,No,No,4,10,4.0
38,-47.87283333,-15.82566667,No,No,4,6,3.2
39,-47.8685,-15.819,No,No,4,30,4.9
40,-47.885812,-15.720118,No,No,4,8,3.3
41,-47.92102778,-15.79753056,No,No,2,9,3.6
42,-43.377,-23.0115,No,No,4,7,4.0
43,-43.178826,-22.905293,No,No,4,29,4.8
44,-43.18669167,-22.97207222,No,No,3,24,4.7
45,-43.17583333,-22.96216667,No,No,3,29,4.5
46,-43.176,-22.96516667,No,No,4,11,4.2
47,-43.191,-22.98683333,No,No,3,19,4.8
48,-43.227042,-22.973507,No,No,4,40,4.9
49,-43.211425,-22.98520833,No,No,3,21,4.6
50,-43.203,-22.98533333,No,No,4,49,4.9
51,-43.20520833,-22.98531944,No,No,4,21,4.6
52,-43.219563,-22.966647,No,No,3,14,4.3
53,-43.34879167,-22.99991111,No,No,4,5,4.0
54,-43.227,-22.98416667,No,No,4,25,4.6
55,-43.22566667,-22.98516667,No,No,4,13,4.4
56,-43.17279167,-22.963925,No,No,2,7,4.2
57,-43.17126389,-22.96337222,No,No,4,8,4.2
58,-43.341164,-22.870413,No,No,3,1,0.0
59,-43.18736944,-22.92481389,No,No,4,44,4.7
60,-43.21551111,-22.91370833,No,No,3,24,4.6
61,-43.16266667,-22.94783333,No,No,3,10,4.3
62,-46.64516667,-23.55066667,No,No,4,49,4.5
63,-46.64633333,-23.559,No,No,4,17,4.4
64,-46.65866667,-23.55616667,No,No,3,5,3.1
65,-46.657523,-23.55671,No,No,4,15,4.1
66,-46.666851,-23.581688,No,No,4,59,4.8
67,-46.67511,-23.582135,No,No,4,30,4.6
68,-46.683888,-23.585324,No,No,3,5,3.9
69,-46.67566667,-23.581,No,No,2,0,0.0
70,-46.666041,-23.561568,No,No,4,73,3.4
71,-46.657418,-23.571638,No,No,4,9,3.5
72,-46.66983333,-23.5655,No,No,4,39,4.3
73,-46.67133333,-23.59233333,No,No,4,12,3.9
74,-46.68133333,-23.56483333,No,No,4,68,4.3
75,-46.64159444,-23.54664167,No,No,4,46,4.3
76,-46.643425,-23.545163,No,No,4,37,4.4
77,-46.63716667,-23.5995,No,No,3,2,0.0
78,-46.698574,-23.622925,No,No,2,2,0.0
79,-46.581672,-23.486535,No,No,4,22,4.4
80,-46.63566667,-23.58516667,No,No,3,58,4.6
81,-46.746958,-23.609207,No,No,4,11,4.1
82,-84.221535,31.610387,No,No,2,35,3.3
83,-84.207095,31.608743,No,No,1,25,3.3
84,-84.154,31.5772,No,No,1,34,3.4
85,-84.2194,31.6158,No,No,1,45,3.4
86,-84.206944,31.622412,No,No,1,26,3.4
87,-84.1759,31.5882,No,No,1,36,3.4
88,-84.2193,31.616,No,No,1,67,3.5
89,-84.2091458,31.6155186,No,No,1,141,3.9
90,-84.205718,31.604905,No,No,2,147,3.7
91,-84.223278,31.612121,No,No,4,51,3.5
92,-84.2191,31.6156,No,No,2,88,3.6
93,-84.212,31.6104,No,No,1,153,3.8
94,-84.1534,31.5751,No,No,1,160,3.9
95,-84.2228,31.6077,No,No,2,57,3.5
96,-84.2229,31.6185,No,No,2,58,3.5
97,-84.2164,31.6137,No,No,3,115,3.6
98,-84.2233,31.6118,No,No,3,51,3.5
99,-84.205025,31.605882,No,No,3,250,3.8
100,-84.1757,31.5985,No,No,1,117,3.7
101,-83.8389,31.5308,No,No,1,20,3.4
102,151.6688792,-30.5147169,No,No,2,25,3.5
103,-83.378273,33.957999,No,No,3,1821,4.5
104,-83.3654,33.9535,No,No,1,849,4.5
105,-83.4293,33.9652,No,No,1,917,4.6
106,-83.3389,33.9259,No,No,1,439,3.9
107,-83.375523,33.958198,No,No,1,289,3.7
108,-83.384004,33.959392,No,No,1,558,4.3
109,-83.3797,33.9584,No,No,1,613,4.2
110,-83.373596,33.958112,No,No,2,353,4.0
111,-83.33995,33.924275,No,No,2,387,4.1
112,-83.3872482,33.9415545,No,No,3,755,4.3
113,-83.381625,33.960112,No,No,1,800,4.2
114,-83.400887,33.963296,No,No,1,350,4.1
115,-83.4075,33.9584,No,No,3,464,4.1
116,-83.379251,33.957503,No,No,2,550,4.2
117,-83.383605,33.960571,No,No,1,543,4.1
118,-83.37967,33.959468,No,No,3,465,4.1
119,-83.38728,33.937502,No,No,1,546,4.4
120,-83.3764,33.9584,No,No,1,1098,4.4
121,-83.378881,33.958363,No,No,2,579,4.2
122,-83.3828224,33.9600227,No,No,1,374,4.1
123,-82.0865,33.4721,No,No,3,717,4.6
